id_convocatoria,cui
1028808,2586991
1028822,2570057
1028825,2619639
1028853,2597683
1028944,2629538
1028960,2592407
1028972,2506038
1028993,"2392064,2601452"
1029048,2311459
1029067,2331873
1029098,2511637
1029106,2495980
1029133,2493667
1029151,2611144
1029222,2644331
1029318,2591099
1029322,2326679
1029330,2226795
1029363,2599399
1029391,2333608
1029398,2483504
1029406,2563952
1029474,2473255
1029547,2553783
1029601,2644080
1029645,2279375
1029725,2385483
1029864,2403364
1029870,2434558
1029881,2511053
1029895,2616655
1029896,2260211
1030041,"2514610,2587520"
1030045,2511053
1030068,2331865
1030079,2183179
1030093,2187217
1030109,2608403
1030159,2615405
1030183,2638769
1030251,2317287
1030297,2628192
1030303,2420269
1030306,2549000
1030310,2543540
1030312,2602536
1030334,2612710
1030343,2625251
1030346,2467826
1030378,2160165
1030413,2270682
1030470,2567654
1030473,2431759
1030489,2586292
1030491,2473255
1030497,2598591
1030507,2595068
1030559,2342835
1030562,2573892
1030565,2514626
1030566,2573892
1030580,2564176
1030583,2643822
1030605,2642792
1030610,2607520
1030622,2611663
1030679,2576084
1030703,2527982
1030704,2160165
1030710,2500870
1030715,2340601
1030723,2602996
1030739,2626583
1030743,2630746
1030780,2457746
1030788,2634587
1030806,2270682
1030832,2621809
1030833,2614707
1030834,2308916
1030844,2077997
1030861,2303986
1030873,2235789
1030888,2591211
1030892,2428198
1030894,2555805
1030895,2625554
1030898,2632747
1030912,2567862
1030919,2308916
1030924,2565891
1030926,2602682
1030938,2627833
1030940,2385483
1030947,2643179
1030958,2474637
1030960,2601890
1030968,2612013
1030987,2187217
1030994,2599411
1030997,2487067
1030998,2625612
1031001,2567945
1031008,2488989
1031050,2412677
1031059,2611604
1031069,2111041
1031112,2413957
1031123,2632772
1031149,2300599
1031183,2217492
1031212,2648485
1031245,2511053
1031252,"2646582,2646593"
1031288,2586849
1031293,2530639
1031296,2251136
1031382,2641800
1031390,2576362
1031401,2455352
1031422,2570464
1031430,2155179
1031433,2574254
1031454,2363485
1031455,2112926
1031468,2598501
1031479,2587397
1031552,2474776
1031585,2263802
1031605,2616870
1031618,2598365
1031625,2306190
1031630,2572391
1031631,2598298
1031654,2443081
1031659,2632919
1031707,2340966
1031720,2615462
1031734,2599237
1031753,2644080
1031805,2066175
1031806,2622897
1031827,2521793
1031878,2387547
1031880,2333608
1031893,2435083
1031896,2568283
1031907,2595346
1031934,2612852
1031968,2624138
1031975,2635587
1031981,2526979
1032003,2641635
1032019,2501142
1032041,2595108
1032048,"2612116,2646947"
1032061,2534059
1032062,2599499
1032077,2500075
1032099,2428898
1032101,2187217
1032102,2503652
1032114,2484597
1032128,2477954
1032173,2490023
1032200,2301404
1032201,2606676
1032220,2353325
1032233,2600544
1032248,2622700
1032252,2215017
1032271,2631959
1032278,2476202
1032288,2622903
1032300,2476202
1032303,2476202
1032311,2613946
1032332,2606676
1032367,2611130
1032370,2625252
1032372,2577480
1032375,2625215
1032384,2625092
1032427,2632772
1032443,2588518
1032446,2338528
1032449,2589136
1032452,2309892
1032470,2194709
1032497,2506158
1032528,2633858
1032582,2325239
1032587,2539434
1032596,2545079
1032601,2601540
1032613,2056427
1032625,2222959
1032626,2576147
1032635,2628903
1032640,2316489
1032642,2587734
1032643,2590622
1032655,2442244
1032666,2643822
1032668,2633510
1032699,2576941
1032739,2610613
1032759,2311459
1032777,2548804
1032792,2611663
1032822,2603274
1032832,2625365
1032863,2632084
1032870,2549941
1032878,2506380
1032917,2537639
1032960,2597963
1032976,2606037
1032996,2467554
1033011,2358375
1033015,2337768
1033024,2602592
1033028,2619983
1033030,2236681
1033050,2342835
1033056,2520451
1033065,2631082
1033070,2575258
1033077,2597159
1033091,2598501
1033102,2604876
1033103,2596924
1033109,2513904
1033114,2608933
1033116,2633510
1033117,2608944
1033137,2549000
1033141,2577493
1033162,2471658
1033176,2487950
1033183,2594222
1033205,2437854
1033234,2546300
1033253,2449380
1033290,2561102
1033332,2575199
1033344,2283576
1033359,2592809
1033369,2537639
1033389,2249944
1033390,2177135
1033398,2610117
1033406,2620794
1033422,2473873
1033426,2512286
1033510,2554267
1033514,2632675
1033520,2590985
1033535,2547417
1033550,2331084
1033569,2155179
1033578,2534059
1033598,2472414
1033624,2472414
1033625,2414544
1033634,2511637
1033646,2328893
1033733,2461958
1033751,2573068
1033761,2613946
1033812,2509676
1033814,2639023
1033849,2379361
1033858,2639260
1033861,2575403
1033878,2244071
1033888,2439022
1033954,2527257
1033963,2638499
1033965,2577661
1033973,2513655
1033986,2189536
1034008,2569474
1034021,2605989
1034032,2609124
1034034,2557399
1034066,0396620
1034077,2502739
1034087,"2234945,2445733,2478557,2484474,2485597,2485914,2485915,2485916,2487730,2489229,2489366,2496607,2496978,2511928"
1034088,2632176
1034097,2644702
1034121,2392064
1034131,2343806
1034145,"2575122,2575134,2575136"
1034212,2590849
1034216,2309727
1034223,2543599
1034229,2414152
1034289,2508244
1034301,2553916
1034311,2637034
1034345,2558126
1034408,2459583
1034410,2585624
1034412,2547417
1034457,2601635
1034460,2428822
1034461,2487020
1034494,2449568
